Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,7,161,2,Some Random Commen with Id 0
1,1,7,15,8,Some Random Commen with Id 1
2,1,7,64,6,Some Random Commen with Id 2
3,2,9,36,8,Some Random Commen with Id 3
4,2,9,4,2,Some Random Commen with Id 4
5,2,9,41,6,Some Random Commen with Id 5
6,3,1,168,8,Some Random Commen with Id 6
7,3,1,78,9,Some Random Commen with Id 7
8,3,1,116,4,Some Random Commen with Id 8
9,3,1,80,7,Some Random Commen with Id 9
10,3,1,96,9,Some Random Commen with Id 10
11,3,1,168,8,Some Random Commen with Id 11
12,4,3,63,6,Some Random Commen with Id 12
13,4,3,99,5,Some Random Commen with Id 13
14,4,3,68,8,Some Random Commen with Id 14
15,5,7,154,6,Some Random Commen with Id 15
16,5,7,80,9,Some Random Commen with Id 16
17,5,7,36,5,Some Random Commen with Id 17
18,5,7,198,2,Some Random Commen with Id 18
19,5,7,52,2,Some Random Commen with Id 19
20,5,7,128,0,Some Random Commen with Id 20
21,5,7,91,8,Some Random Commen with Id 21
22,5,7,141,5,Some Random Commen with Id 22
23,5,7,74,3,Some Random Commen with Id 23
24,6,5,159,8,Some Random Commen with Id 24
25,6,5,106,9,Some Random Commen with Id 25
26,6,5,20,2,Some Random Commen with Id 26
27,6,5,19,8,Some Random Commen with Id 27
28,6,5,34,3,Some Random Commen with Id 28
29,6,5,107,9,Some Random Commen with Id 29
30,7,9,35,9,Some Random Commen with Id 30
31,7,9,92,6,Some Random Commen with Id 31
32,8,1,97,9,Some Random Commen with Id 32
33,8,1,8,3,Some Random Commen with Id 33
34,8,1,138,3,Some Random Commen with Id 34
35,8,1,102,7,Some Random Commen with Id 35
36,8,1,83,3,Some Random Commen with Id 36
37,8,1,94,6,Some Random Commen with Id 37
38,8,1,74,8,Some Random Commen with Id 38
39,8,1,182,8,Some Random Commen with Id 39
40,9,3,20,6,Some Random Commen with Id 40
41,10,6,9,6,Some Random Commen with Id 41
42,10,6,36,0,Some Random Commen with Id 42
43,10,6,103,3,Some Random Commen with Id 43
44,10,6,122,6,Some Random Commen with Id 44
45,10,6,127,7,Some Random Commen with Id 45
46,10,6,135,8,Some Random Commen with Id 46
47,10,6,35,8,Some Random Commen with Id 47
48,11,6,58,7,Some Random Commen with Id 48
49,11,6,135,9,Some Random Commen with Id 49
50,11,6,121,0,Some Random Commen with Id 50
51,11,6,36,4,Some Random Commen with Id 51
52,12,1,146,4,Some Random Commen with Id 52
53,12,1,65,9,Some Random Commen with Id 53
54,12,1,62,3,Some Random Commen with Id 54
55,13,8,187,5,Some Random Commen with Id 55
56,13,8,186,6,Some Random Commen with Id 56
57,13,8,65,0,Some Random Commen with Id 57
58,13,8,51,5,Some Random Commen with Id 58
59,14,8,44,8,Some Random Commen with Id 59
60,14,8,160,3,Some Random Commen with Id 60
61,14,8,173,8,Some Random Commen with Id 61
62,15,7,133,9,Some Random Commen with Id 62
63,15,7,137,3,Some Random Commen with Id 63
64,15,7,48,8,Some Random Commen with Id 64
65,15,7,123,0,Some Random Commen with Id 65
66,16,0,69,0,Some Random Commen with Id 66
67,16,0,161,2,Some Random Commen with Id 67
68,18,0,101,0,Some Random Commen with Id 68
69,18,0,186,3,Some Random Commen with Id 69
70,18,0,194,0,Some Random Commen with Id 70
71,18,0,161,3,Some Random Commen with Id 71
72,18,0,158,7,Some Random Commen with Id 72
73,18,0,85,0,Some Random Commen with Id 73
74,18,0,23,2,Some Random Commen with Id 74
75,18,0,140,4,Some Random Commen with Id 75
76,19,5,86,7,Some Random Commen with Id 76
77,19,5,64,0,Some Random Commen with Id 77
78,19,5,92,4,Some Random Commen with Id 78
79,19,5,155,9,Some Random Commen with Id 79
80,19,5,4,6,Some Random Commen with Id 80
81,19,5,150,1,Some Random Commen with Id 81
82,20,9,154,7,Some Random Commen with Id 82
83,20,9,79,2,Some Random Commen with Id 83
84,20,9,86,2,Some Random Commen with Id 84
85,20,9,69,8,Some Random Commen with Id 85
86,20,9,190,7,Some Random Commen with Id 86
87,20,9,131,8,Some Random Commen with Id 87
88,20,9,19,3,Some Random Commen with Id 88
89,20,9,3,4,Some Random Commen with Id 89
90,21,3,180,8,Some Random Commen with Id 90
91,21,3,68,0,Some Random Commen with Id 91
92,21,3,57,4,Some Random Commen with Id 92
93,21,3,7,2,Some Random Commen with Id 93
94,21,3,120,5,Some Random Commen with Id 94
95,21,3,107,6,Some Random Commen with Id 95
96,21,3,190,2,Some Random Commen with Id 96
97,21,3,189,2,Some Random Commen with Id 97
98,21,3,135,3,Some Random Commen with Id 98
99,22,9,132,8,Some Random Commen with Id 99
100,22,9,5,0,Some Random Commen with Id 100
101,22,9,53,4,Some Random Commen with Id 101
102,22,9,25,5,Some Random Commen with Id 102
103,22,9,102,4,Some Random Commen with Id 103
104,23,4,95,3,Some Random Commen with Id 104
105,23,4,100,4,Some Random Commen with Id 105
106,23,4,10,2,Some Random Commen with Id 106
107,23,4,138,0,Some Random Commen with Id 107
108,23,4,129,2,Some Random Commen with Id 108
109,24,7,32,8,Some Random Commen with Id 109
110,25,3,62,1,Some Random Commen with Id 110
111,26,7,9,8,Some Random Commen with Id 111
112,26,7,142,2,Some Random Commen with Id 112
113,26,7,135,0,Some Random Commen with Id 113
114,26,7,135,2,Some Random Commen with Id 114
115,26,7,129,0,Some Random Commen with Id 115
116,26,7,14,1,Some Random Commen with Id 116
117,26,7,146,3,Some Random Commen with Id 117
118,26,7,36,4,Some Random Commen with Id 118
119,26,7,165,5,Some Random Commen with Id 119
120,27,6,36,0,Some Random Commen with Id 120
121,27,6,176,7,Some Random Commen with Id 121
122,27,6,173,4,Some Random Commen with Id 122
123,27,6,27,7,Some Random Commen with Id 123
124,27,6,151,2,Some Random Commen with Id 124
125,27,6,52,5,Some Random Commen with Id 125
126,27,6,114,9,Some Random Commen with Id 126
127,27,6,61,6,Some Random Commen with Id 127
128,28,2,79,3,Some Random Commen with Id 128
129,28,2,16,7,Some Random Commen with Id 129
130,28,2,8,9,Some Random Commen with Id 130
131,30,0,189,6,Some Random Commen with Id 131
132,30,0,122,4,Some Random Commen with Id 132
133,30,0,45,4,Some Random Commen with Id 133
134,30,0,87,9,Some Random Commen with Id 134
135,30,0,48,8,Some Random Commen with Id 135
136,30,0,101,3,Some Random Commen with Id 136
137,30,0,158,5,Some Random Commen with Id 137
138,31,9,66,6,Some Random Commen with Id 138
139,31,9,47,5,Some Random Commen with Id 139
140,31,9,17,1,Some Random Commen with Id 140
141,31,9,127,3,Some Random Commen with Id 141
142,31,9,24,6,Some Random Commen with Id 142
143,31,9,132,0,Some Random Commen with Id 143
144,31,9,18,5,Some Random Commen with Id 144
145,32,9,166,6,Some Random Commen with Id 145
146,32,9,166,7,Some Random Commen with Id 146
147,32,9,63,8,Some Random Commen with Id 147
148,32,9,135,4,Some Random Commen with Id 148
149,32,9,85,7,Some Random Commen with Id 149
150,32,9,125,1,Some Random Commen with Id 150
151,33,6,116,5,Some Random Commen with Id 151
152,33,6,197,7,Some Random Commen with Id 152
153,33,6,95,7,Some Random Commen with Id 153
154,33,6,58,7,Some Random Commen with Id 154
155,34,1,179,2,Some Random Commen with Id 155
156,34,1,176,7,Some Random Commen with Id 156
157,34,1,63,1,Some Random Commen with Id 157
158,34,1,19,2,Some Random Commen with Id 158
159,34,1,76,4,Some Random Commen with Id 159
160,36,2,124,0,Some Random Commen with Id 160
161,36,2,199,9,Some Random Commen with Id 161
162,36,2,126,0,Some Random Commen with Id 162
163,37,3,79,5,Some Random Commen with Id 163
164,38,3,33,9,Some Random Commen with Id 164
165,38,3,162,5,Some Random Commen with Id 165
166,38,3,41,7,Some Random Commen with Id 166
167,38,3,118,6,Some Random Commen with Id 167
168,38,3,0,3,Some Random Commen with Id 168
169,38,3,116,9,Some Random Commen with Id 169
170,38,3,170,1,Some Random Commen with Id 170
171,39,9,99,8,Some Random Commen with Id 171
