Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,2,6,Some Random Commen with Id 0
1,0,4,61,9,Some Random Commen with Id 1
2,0,4,22,4,Some Random Commen with Id 2
3,0,4,163,3,Some Random Commen with Id 3
4,0,4,13,0,Some Random Commen with Id 4
5,0,4,178,6,Some Random Commen with Id 5
6,0,4,20,2,Some Random Commen with Id 6
7,0,4,72,0,Some Random Commen with Id 7
8,0,4,172,1,Some Random Commen with Id 8
9,1,6,140,7,Some Random Commen with Id 9
10,1,6,29,0,Some Random Commen with Id 10
11,1,6,126,7,Some Random Commen with Id 11
12,1,6,158,9,Some Random Commen with Id 12
13,1,6,36,9,Some Random Commen with Id 13
14,1,6,128,2,Some Random Commen with Id 14
15,2,8,49,5,Some Random Commen with Id 15
16,2,8,127,5,Some Random Commen with Id 16
17,3,2,95,8,Some Random Commen with Id 17
18,3,2,123,6,Some Random Commen with Id 18
19,3,2,166,7,Some Random Commen with Id 19
20,3,2,88,3,Some Random Commen with Id 20
21,3,2,180,3,Some Random Commen with Id 21
22,3,2,189,7,Some Random Commen with Id 22
23,3,2,120,9,Some Random Commen with Id 23
24,4,9,7,2,Some Random Commen with Id 24
25,4,9,76,5,Some Random Commen with Id 25
26,4,9,59,8,Some Random Commen with Id 26
27,4,9,109,4,Some Random Commen with Id 27
28,4,9,34,6,Some Random Commen with Id 28
29,4,9,159,6,Some Random Commen with Id 29
30,4,9,24,6,Some Random Commen with Id 30
31,4,9,168,1,Some Random Commen with Id 31
32,4,9,23,6,Some Random Commen with Id 32
33,5,4,162,3,Some Random Commen with Id 33
34,5,4,156,6,Some Random Commen with Id 34
35,5,4,65,8,Some Random Commen with Id 35
36,5,4,189,3,Some Random Commen with Id 36
37,5,4,95,0,Some Random Commen with Id 37
38,6,0,87,8,Some Random Commen with Id 38
39,6,0,70,2,Some Random Commen with Id 39
40,6,0,69,7,Some Random Commen with Id 40
41,6,0,24,9,Some Random Commen with Id 41
42,6,0,137,8,Some Random Commen with Id 42
43,6,0,130,9,Some Random Commen with Id 43
44,6,0,157,2,Some Random Commen with Id 44
45,6,0,37,5,Some Random Commen with Id 45
46,7,2,104,5,Some Random Commen with Id 46
47,7,2,28,6,Some Random Commen with Id 47
48,7,2,46,1,Some Random Commen with Id 48
49,7,2,9,4,Some Random Commen with Id 49
50,7,2,12,4,Some Random Commen with Id 50
51,7,2,100,0,Some Random Commen with Id 51
52,7,2,70,0,Some Random Commen with Id 52
53,7,2,187,4,Some Random Commen with Id 53
54,7,2,41,3,Some Random Commen with Id 54
55,8,9,35,0,Some Random Commen with Id 55
56,8,9,156,2,Some Random Commen with Id 56
57,8,9,23,2,Some Random Commen with Id 57
58,8,9,68,8,Some Random Commen with Id 58
59,8,9,4,5,Some Random Commen with Id 59
60,8,9,23,7,Some Random Commen with Id 60
61,8,9,109,0,Some Random Commen with Id 61
62,8,9,151,4,Some Random Commen with Id 62
63,9,1,72,4,Some Random Commen with Id 63
64,9,1,167,9,Some Random Commen with Id 64
65,9,1,189,6,Some Random Commen with Id 65
66,9,1,20,0,Some Random Commen with Id 66
67,9,1,165,3,Some Random Commen with Id 67
68,9,1,128,6,Some Random Commen with Id 68
69,9,1,197,2,Some Random Commen with Id 69
70,9,1,83,6,Some Random Commen with Id 70
71,9,1,111,8,Some Random Commen with Id 71
72,10,3,167,6,Some Random Commen with Id 72
73,10,3,114,9,Some Random Commen with Id 73
74,10,3,190,3,Some Random Commen with Id 74
75,10,3,0,0,Some Random Commen with Id 75
76,10,3,104,3,Some Random Commen with Id 76
77,10,3,80,5,Some Random Commen with Id 77
78,10,3,32,2,Some Random Commen with Id 78
79,10,3,161,6,Some Random Commen with Id 79
80,10,3,188,0,Some Random Commen with Id 80
81,11,0,51,0,Some Random Commen with Id 81
82,11,0,8,9,Some Random Commen with Id 82
83,11,0,74,9,Some Random Commen with Id 83
84,11,0,197,3,Some Random Commen with Id 84
85,11,0,30,0,Some Random Commen with Id 85
86,11,0,100,8,Some Random Commen with Id 86
87,11,0,195,2,Some Random Commen with Id 87
88,13,3,70,3,Some Random Commen with Id 88
89,13,3,51,4,Some Random Commen with Id 89
90,13,3,71,0,Some Random Commen with Id 90
91,13,3,39,0,Some Random Commen with Id 91
92,13,3,127,1,Some Random Commen with Id 92
93,13,3,142,4,Some Random Commen with Id 93
94,14,2,72,1,Some Random Commen with Id 94
95,14,2,101,7,Some Random Commen with Id 95
96,14,2,100,7,Some Random Commen with Id 96
97,14,2,139,5,Some Random Commen with Id 97
98,14,2,21,6,Some Random Commen with Id 98
99,14,2,165,5,Some Random Commen with Id 99
100,14,2,132,9,Some Random Commen with Id 100
101,14,2,190,5,Some Random Commen with Id 101
102,14,2,42,3,Some Random Commen with Id 102
103,15,8,68,9,Some Random Commen with Id 103
104,15,8,142,5,Some Random Commen with Id 104
105,15,8,153,2,Some Random Commen with Id 105
106,15,8,92,7,Some Random Commen with Id 106
107,15,8,175,1,Some Random Commen with Id 107
108,15,8,150,3,Some Random Commen with Id 108
109,15,8,153,9,Some Random Commen with Id 109
110,15,8,82,8,Some Random Commen with Id 110
111,18,9,112,2,Some Random Commen with Id 111
112,18,9,102,4,Some Random Commen with Id 112
113,18,9,118,0,Some Random Commen with Id 113
114,18,9,29,4,Some Random Commen with Id 114
115,18,9,97,1,Some Random Commen with Id 115
116,18,9,198,7,Some Random Commen with Id 116
117,19,9,152,9,Some Random Commen with Id 117
118,19,9,109,5,Some Random Commen with Id 118
119,19,9,50,5,Some Random Commen with Id 119
120,19,9,92,8,Some Random Commen with Id 120
121,19,9,120,1,Some Random Commen with Id 121
122,20,5,138,0,Some Random Commen with Id 122
123,20,5,32,3,Some Random Commen with Id 123
124,20,5,94,4,Some Random Commen with Id 124
125,20,5,88,7,Some Random Commen with Id 125
126,20,5,61,8,Some Random Commen with Id 126
127,20,5,11,9,Some Random Commen with Id 127
128,20,5,66,2,Some Random Commen with Id 128
129,21,6,79,2,Some Random Commen with Id 129
130,21,6,152,3,Some Random Commen with Id 130
131,21,6,194,2,Some Random Commen with Id 131
132,21,6,174,5,Some Random Commen with Id 132
133,21,6,53,8,Some Random Commen with Id 133
134,21,6,178,5,Some Random Commen with Id 134
135,21,6,115,7,Some Random Commen with Id 135
136,21,6,117,5,Some Random Commen with Id 136
137,22,2,197,1,Some Random Commen with Id 137
138,22,2,150,7,Some Random Commen with Id 138
139,23,6,140,8,Some Random Commen with Id 139
140,24,7,20,8,Some Random Commen with Id 140
141,24,7,166,1,Some Random Commen with Id 141
142,24,7,33,6,Some Random Commen with Id 142
143,25,6,162,8,Some Random Commen with Id 143
144,25,6,194,8,Some Random Commen with Id 144
145,25,6,194,8,Some Random Commen with Id 145
146,25,6,92,5,Some Random Commen with Id 146
147,25,6,117,4,Some Random Commen with Id 147
148,25,6,92,5,Some Random Commen with Id 148
149,25,6,71,7,Some Random Commen with Id 149
150,26,8,111,3,Some Random Commen with Id 150
151,26,8,2,0,Some Random Commen with Id 151
152,26,8,184,3,Some Random Commen with Id 152
153,26,8,152,0,Some Random Commen with Id 153
154,26,8,32,4,Some Random Commen with Id 154
